"",Model,Class,Precision,Recall,F1-Score
54,NaiveBayes,4,0.912698,0.445736,0.598958
55,NaiveBayes,0,0.153846,0.033473,0.054983
56,NaiveBayes,1,0.259873,0.875536,0.400786
57,NaiveBayes,2,0.246575,0.143426,0.181360
58,NaiveBayes,3,0.038760,0.021097,0.027322
59,NaiveBayes,4,0.909091,0.333333,0.487805
60,NaiveBayes,0,0.180328,0.044898,0.071895
61,NaiveBayes,1,0.283163,0.880952,0.428571
62,NaiveBayes,2,0.230769,0.151376,0.182825
63,NaiveBayes,3,0.091667,0.041667,0.057292
64,NaiveBayes,4,0.934783,0.389140,0.549521
65,NaiveBayes,0,0.322034,0.076923,0.124183
66,NaiveBayes,1,0.275862,0.866667,0.418511
67,NaiveBayes,2,0.233129,0.153226,0.184915
68,NaiveBayes,3,0.057851,0.030837,0.040230
69,NaiveBayes,4,0.883495,0.382353,0.533724
70,NaiveBayes,0,0.216667,0.051793,0.083601
71,NaiveBayes,1,0.261438,0.869565,0.402010
72,NaiveBayes,2,0.286667,0.182979,0.223377
73,NaiveBayes,3,0.059259,0.033195,0.042553
74,NaiveBayes,4,0.888889,0.329218,0.480480
75,KNN,0,0.395973,0.541284,0.457364
76,KNN,1,0.494624,0.751020,0.596434
77,KNN,2,0.433735,0.290323,0.347826
78,KNN,3,0.546154,0.307359,0.393352
79,KNN,4,0.995726,0.903101,0.947154
80,KNN,0,0.345345,0.481172,0.402098
81,KNN,1,0.450276,0.699571,0.547899
82,KNN,2,0.482993,0.282869,0.356784
83,KNN,3,0.507463,0.286920,0.366577
84,KNN,4,0.995536,0.929167,0.961207
85,KNN,0,0.372881,0.448980,0.407407
86,KNN,1,0.459530,0.698413,0.554331
87,KNN,2,0.452941,0.353211,0.396907
88,KNN,3,0.605634,0.325758,0.423645
89,KNN,4,0.990476,0.941176,0.965197
90,KNN,0,0.364458,0.489879,0.417962
91,KNN,1,0.483384,0.666667,0.560420
92,KNN,2,0.526316,0.362903,0.429594
93,KNN,3,0.455172,0.290749,0.354839
94,KNN,4,0.990950,0.920168,0.954248
95,KNN,0,0.344828,0.438247,0.385965
96,KNN,1,0.459155,0.708696,0.557265
97,KNN,2,0.470199,0.302128,0.367876
98,KNN,3,0.527778,0.315353,0.394805
99,KNN,4,1.000000,0.950617,0.974684
100,Bagging,0,0.544304,0.591743,0.567033
101,Bagging,1,0.698246,0.812245,0.750943
102,Bagging,2,0.689815,0.600806,0.642241
103,Bagging,3,0.671569,0.593074,0.629885
104,Bagging,4,1.000000,1.000000,1.000000
105,Bagging,0,0.568421,0.677824,0.618321
106,Bagging,1,0.673913,0.798283,0.730845
107,Bagging,2,0.750000,0.585657,0.657718
108,Bagging,3,0.707921,0.603376,0.651481
109,Bagging,4,0.995851,1.000000,0.997921
110,Bagging,0,0.611570,0.604082,0.607803
111,Bagging,1,0.679365,0.849206,0.754850
112,Bagging,2,0.689655,0.642202,0.665083
113,Bagging,3,0.780822,0.647727,0.708075
114,Bagging,4,1.000000,1.000000,1.000000
115,Bagging,0,0.617329,0.692308,0.652672
116,Bagging,1,0.719298,0.854167,0.780952
117,Bagging,2,0.692661,0.608871,0.648069
118,Bagging,3,0.712707,0.568282,0.632353
119,Bagging,4,0.995816,1.000000,0.997904
120,Bagging,0,0.638655,0.605578,0.621677
121,Bagging,1,0.670103,0.847826,0.748560
122,Bagging,2,0.736318,0.629787,0.678899
123,Bagging,3,0.751111,0.701245,0.725322
124,Bagging,4,0.991837,1.000000,0.995902
125,AdaBoost,0,0.266667,0.550459,0.359281
126,AdaBoost,1,0.512000,0.522449,0.517172
127,AdaBoost,2,0.515464,0.201613,0.289855
128,AdaBoost,3,0.361702,0.220779,0.274194
129,AdaBoost,4,0.973282,0.988372,0.980769
130,AdaBoost,0,0.750000,0.150628,0.250871
131,AdaBoost,1,0.310078,0.858369,0.455581
132,AdaBoost,2,0.557522,0.250996,0.346154
133,AdaBoost,3,0.483221,0.303797,0.373057
134,AdaBoost,4,0.971429,0.991667,0.981443
135,AdaBoost,0,0.500000,0.004082,0.008097
136,AdaBoost,1,0.670330,0.242063,0.355685
137,AdaBoost,2,0.250362,0.793578,0.380638
138,AdaBoost,3,0.502646,0.359848,0.419426
139,AdaBoost,4,0.969163,0.995475,0.982143
140,AdaBoost,0,0.617647,0.085020,0.149466
141,AdaBoost,1,0.407674,0.708333,0.517504
142,AdaBoost,2,0.546218,0.262097,0.354223
143,AdaBoost,3,0.349490,0.603524,0.442649
144,AdaBoost,4,0.983193,0.983193,0.983193
145,AdaBoost,0,0.321348,0.569721,0.410920
146,AdaBoost,1,0.420118,0.308696,0.355890
147,AdaBoost,2,0.466667,0.327660,0.385000
148,AdaBoost,3,0.418079,0.307054,0.354067
149,AdaBoost,4,0.983607,0.987654,0.985626
