"",Model,Class,Precision,Recall,F1-Score
94,KNN,4,1.000000,0.991597,0.995781
95,KNN,0,0.290520,0.378486,0.328720
96,KNN,1,0.370504,0.447826,0.405512
97,KNN,2,0.281553,0.246809,0.263039
98,KNN,3,0.339869,0.215768,0.263959
99,KNN,4,1.000000,0.971193,0.985386
100,Bagging,0,0.287823,0.357798,0.319018
101,Bagging,1,0.459574,0.440816,0.450000
102,Bagging,2,0.333333,0.274194,0.300885
103,Bagging,3,0.301724,0.303030,0.302376
104,Bagging,4,1.000000,1.000000,1.000000
105,Bagging,0,0.256228,0.301255,0.276923
106,Bagging,1,0.434599,0.442060,0.438298
107,Bagging,2,0.265217,0.243028,0.253638
108,Bagging,3,0.264151,0.236287,0.249443
109,Bagging,4,1.000000,1.000000,1.000000
110,Bagging,0,0.301587,0.387755,0.339286
111,Bagging,1,0.473077,0.488095,0.480469
112,Bagging,2,0.276995,0.270642,0.273782
113,Bagging,3,0.382199,0.276515,0.320879
114,Bagging,4,1.000000,1.000000,1.000000
115,Bagging,0,0.295775,0.340081,0.316384
116,Bagging,1,0.445344,0.458333,0.451745
117,Bagging,2,0.265766,0.237903,0.251064
118,Bagging,3,0.287081,0.264317,0.275229
119,Bagging,4,1.000000,1.000000,1.000000
120,Bagging,0,0.312253,0.314741,0.313492
121,Bagging,1,0.421245,0.500000,0.457256
122,Bagging,2,0.235294,0.221277,0.228070
123,Bagging,3,0.290476,0.253112,0.270510
124,Bagging,4,1.000000,1.000000,1.000000
125,AdaBoost,0,0.224194,0.637615,0.331742
126,AdaBoost,1,0.511111,0.093878,0.158621
127,AdaBoost,2,0.220588,0.120968,0.156250
128,AdaBoost,3,0.290780,0.177489,0.220430
129,AdaBoost,4,1.000000,1.000000,1.000000
130,AdaBoost,0,0.260212,0.719665,0.382222
131,AdaBoost,1,0.358140,0.330472,0.343750
132,AdaBoost,2,0.285714,0.071713,0.114650
133,AdaBoost,3,0.300000,0.025316,0.046693
134,AdaBoost,4,0.995851,1.000000,0.997921
135,AdaBoost,0,0.000000,0.000000,0.000000
136,AdaBoost,1,0.397906,0.301587,0.343115
137,AdaBoost,2,0.235457,0.779817,0.361702
138,AdaBoost,3,0.288136,0.064394,0.105263
139,AdaBoost,4,0.991031,1.000000,0.995495
140,AdaBoost,0,0.000000,0.000000,0.000000
141,AdaBoost,1,0.271724,0.820833,0.408290
142,AdaBoost,2,0.000000,0.000000,0.000000
143,AdaBoost,3,0.258621,0.264317,0.261438
144,AdaBoost,4,0.995816,1.000000,0.997904
145,AdaBoost,0,0.320513,0.099602,0.151976
146,AdaBoost,1,0.276389,0.865217,0.418947
147,AdaBoost,2,0.205128,0.034043,0.058394
148,AdaBoost,3,0.283333,0.141079,0.188366
149,AdaBoost,4,0.995885,0.995885,0.995885
