"",Model,Class,Precision,Recall,F1-Score
60,NaiveBayes,0,0.196429,0.053528,0.084130
61,NaiveBayes,1,0.285818,0.854978,0.428416
62,NaiveBayes,2,0.259615,0.064904,0.103846
63,NaiveBayes,3,0.060317,0.043779,0.050734
64,NaiveBayes,4,0.554656,0.313501,0.400585
65,NaiveBayes,0,0.237624,0.055427,0.089888
66,NaiveBayes,1,0.257102,0.876513,0.397584
67,NaiveBayes,2,0.290323,0.019313,0.036217
68,NaiveBayes,3,0.085635,0.070938,0.077597
69,NaiveBayes,4,0.500000,0.313869,0.385650
70,NaiveBayes,0,0.210526,0.061404,0.095076
71,NaiveBayes,1,0.279379,0.838137,0.419069
72,NaiveBayes,2,0.192982,0.025463,0.044990
73,NaiveBayes,3,0.074742,0.071605,0.073140
74,NaiveBayes,4,0.589520,0.324519,0.418605
75,KNN,0,0.360684,0.479545,0.411707
76,KNN,1,0.406040,0.623711,0.491870
77,KNN,2,0.434251,0.330233,0.375165
78,KNN,3,0.510638,0.265487,0.349345
79,KNN,4,1.000000,0.926667,0.961938
80,KNN,0,0.345000,0.492857,0.405882
81,KNN,1,0.442953,0.591928,0.506718
82,KNN,2,0.391304,0.302885,0.341463
83,KNN,3,0.460177,0.240741,0.316109
84,KNN,4,1.000000,0.932735,0.965197
85,KNN,0,0.343854,0.503650,0.408687
86,KNN,1,0.455150,0.593074,0.515038
87,KNN,2,0.421829,0.343750,0.378808
88,KNN,3,0.473171,0.223502,0.303599
89,KNN,4,1.000000,0.942792,0.970554
90,KNN,0,0.336237,0.445727,0.383317
91,KNN,1,0.384858,0.590799,0.466094
92,KNN,2,0.431611,0.304721,0.357233
93,KNN,3,0.392405,0.212815,0.275964
94,KNN,4,1.000000,0.939173,0.968632
95,KNN,0,0.395310,0.517544,0.448243
96,KNN,1,0.446203,0.625277,0.520776
97,KNN,2,0.453125,0.335648,0.385638
98,KNN,3,0.432432,0.237037,0.306220
99,KNN,4,1.000000,0.935096,0.966460
100,Bagging,0,0.561555,0.590909,0.575858
101,Bagging,1,0.502636,0.737113,0.597701
102,Bagging,2,0.677778,0.567442,0.617722
103,Bagging,3,0.729560,0.513274,0.602597
104,Bagging,4,0.997778,0.997778,0.997778
105,Bagging,0,0.506958,0.607143,0.552546
106,Bagging,1,0.592885,0.672646,0.630252
107,Bagging,2,0.638889,0.552885,0.592784
108,Bagging,3,0.677326,0.539352,0.600515
109,Bagging,4,0.997763,1.000000,0.998880
110,Bagging,0,0.510638,0.583942,0.544835
111,Bagging,1,0.607547,0.696970,0.649194
112,Bagging,2,0.646552,0.540865,0.589005
113,Bagging,3,0.670241,0.576037,0.619579
114,Bagging,4,0.993166,0.997712,0.995434
115,Bagging,0,0.529412,0.581986,0.554455
116,Bagging,1,0.558271,0.719128,0.628571
117,Bagging,2,0.675603,0.540773,0.600715
118,Bagging,3,0.644809,0.540046,0.587796
119,Bagging,4,0.995157,1.000000,0.997573
120,Bagging,0,0.547945,0.614035,0.579111
121,Bagging,1,0.606936,0.698448,0.649485
122,Bagging,2,0.684524,0.532407,0.598958
123,Bagging,3,0.639037,0.590123,0.613607
124,Bagging,4,0.990476,1.000000,0.995215
125,AdaBoost,0,0.578431,0.134091,0.217712
126,AdaBoost,1,0.294745,0.925258,0.447073
127,AdaBoost,2,0.416667,0.069767,0.119522
128,AdaBoost,3,0.421875,0.298673,0.349741
129,AdaBoost,4,0.986607,0.982222,0.984410
130,AdaBoost,0,0.237140,0.647619,0.347160
131,AdaBoost,1,0.648276,0.210762,0.318105
132,AdaBoost,2,0.518519,0.100962,0.169014
133,AdaBoost,3,0.363636,0.277778,0.314961
134,AdaBoost,4,0.973742,0.997758,0.985604
135,AdaBoost,0,0.255454,0.883212,0.396288
136,AdaBoost,1,0.693333,0.225108,0.339869
137,AdaBoost,2,0.285714,0.009615,0.018605
138,AdaBoost,3,0.544715,0.154378,0.240575
139,AdaBoost,4,0.966814,1.000000,0.983127
140,AdaBoost,0,0.260939,0.757506,0.388166
141,AdaBoost,1,0.643312,0.244552,0.354386
142,AdaBoost,2,0.538462,0.015021,0.029228
143,AdaBoost,3,0.412141,0.295195,0.344000
144,AdaBoost,4,0.971429,0.992701,0.981949
145,AdaBoost,0,0.776786,0.190789,0.306338
146,AdaBoost,1,0.343089,0.935698,0.502082
147,AdaBoost,2,0.513889,0.085648,0.146825
148,AdaBoost,3,0.379205,0.306173,0.338798
149,AdaBoost,4,0.983294,0.990385,0.986826
